name,category,price,unit,description,image,veg,bestseller,stock,prepTime
Black Coffee,Hot Beverages,40,1 cup,Hot black coffee,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,no,in stock,4 min
Bread Roll,Evening Snacks,50,1 piece,Stuffed bread roll — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,no,in stock,5 min
Vada Pav,Evening Snacks,50,1 piece,Maharashtrian street snack — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,5 min
Bhel Puri,Evening Snacks,50,1 plate,Tangy puffed-rice chaat — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,no,in stock,5 min
Potato Wedges,Evening Snacks,80,1 plate,Crispy seasoned potato wedges — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,8 min
Veg Burger,Evening Snacks,50,1 piece,Crispy veg patty burger — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,8 min
Chicken Burger,Evening Snacks,80,1 piece,Crispy chicken patty burger — after 4 PM,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,no,yes,in stock,8 min
Aloo Patty,Breakfast,25,1 piece,Crispy potato patty,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,3 min
Paneer Patty,Breakfast,30,1 piece,Crispy paneer patty,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,3 min
Chicken Patty,Breakfast,35,1 piece,Crispy chicken patty,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,no,no,in stock,3 min
Aloo Samosa,Breakfast,15,1 piece,Crispy fried potato samosa,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,3 min
Samosa Sabji,Breakfast,30,1 plate,Samosa with chhole sabji — small,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,5 min
Samosa Sabji Big,Breakfast,50,1 plate,Samosa with chhole sabji — big,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Kachodi Sabji,Breakfast,30,1 plate,Kachori with chhole sabji — small,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Kachodi Sabji Big,Breakfast,50,1 plate,Kachori with chhole sabji — big,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Poha,Breakfast,50,1 plate,Light flattened-rice breakfast,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,yes,in stock,8 min
Oats,Breakfast,50,1 bowl,Hot milk oats,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,6 min
Toast,Breakfast,50,1 plate,Buttered toast — small,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,5 min
Toast Big,Breakfast,80,1 plate,Buttered toast — big,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,5 min
Plain Fries,Fries,70,1 plate,Crispy golden salted fries,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400,yes,yes,in stock,8 min
Masala Fries,Fries,80,1 plate,Spiced masala fries,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400,yes,no,in stock,8 min
Peri-Peri Fries,Fries,90,1 plate,Tangy peri-peri fries,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400,yes,yes,in stock,8 min
